,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
KEYUSDT,9.779691516683593,-0.6255029265024462,1.9478055002923964,2907.1723884961143,336.0,0.7295996837828786,9.050091832900716,7.206383089888751,9165613.46875
ASTERUSDT,9.535890883226752,0.5043342224972164,2.676693058996497,3995.0642671589494,1536.0,9.062943318784404,0.47294756444232133,7.363532046727473,101646076.0625
1MBABYDOGEUSDT,8.676365317675407,0.31717760289179525,1.5467412429835803,2308.5690193784776,1188.0,12.262572695420436,-3.586207377745036,7.446801677583622,7946438.466796875
ENSOUSDT,1.4961040882138263,7.33840766454071,1.2968788479022642,1935.6400714959166,744.0,7.471688075351205,-5.975583987137384,7.5376329048522726,7915519.037109375
INXUSDT,8.321385164684521,0.023503821634692144,0.17400862039337764,259.714358796086,24.0,0.0,8.321385164684521,8.170880365925836,2798686.3623046875
ONTUSDT,15.3769219259669,10.903740256597924,18.104425673080613,27021.530855344223,3660.0,-86.88016989811635,102.25709182408315,8.176236509484212,13262244.84375
PIXELUSDT,7.153860826435589,3.4328338448155686,2.303431567378975,3437.957563252201,2388.0,-8.562122044887177,15.71598287132277,8.283263103872182,10840119.6953125
MAVUSDT,10.920826462406364,1.1960699804209478,3.5976460183450856,5369.620922903111,1872.0,-5.752517497593958,16.67334396000024,8.519250424482227,6770244.65625
LSKUSDT,6.370264674513597,3.2103979704946357,1.0127446104956566,1511.5591201427706,252.0,2.3910139455202413,3.9792507289933567,8.567918034512575,2833304.263671875
ANCUSDT,10.08302184018645,0.5684755549967693,1.8487687703692124,2759.356373685392,559.0,-31.65831207194067,41.741333912127175,8.802728624814009,38191992.34375
MBLUSDT,13.25377791595248,-3.6180402799894344,0.22622936637967428,337.6557707159318,24.0,0.0,13.25377791595248,9.40950826958337,6580976.73828125
OPGUSDT,11.122889126625836,-0.7869229645379202,0.4403822995765746,657.2870142933949,300.0,0.0,11.122889126625836,9.89558386251134,11826535.4296875
XCNUSDT,10.279885821983207,-0.15738192035849904,0.14144377971786457,211.1101189818874,24.0,0.0,10.279885821983207,9.981060121906843,4928843.302734375
PLTRUSDT,10.553513263966478,-0.025851913316539438,0.2612669477809974,389.9506683298468,144.0,10.553513263966478,0.0,10.26639440286894,7497110.2548828125
HOODUSDT,12.137782426850096,-0.1692913901883087,1.6610524015468113,2479.182688875837,552.0,13.599427756741687,-1.4616453298915937,10.307438635114975,13792845.6796875
IMXUSDT,18.564765402147867,4.365061226987597,12.231719998318939,18256.29850495364,6888.0,75.4592520807989,-56.89448667865089,10.698106630816524,20523948.078125
ORCLUSDT,10.95385978274102,0.4822558126368589,0.6804979124403016,1015.6685260303008,144.0,1.5124482532287284,9.441411529512303,10.755617682937578,13899689.11328125
