label,sharpe,cagr,mdd,worst_day,turnover,n_stops,y2022,y2023,y2024,y2025,y2026
REF J0 none w8=2.0 smooth0.5,1.7756995827841633,0.27309895727955946,-0.1514071424167075,-0.058157777010349854,226.19617091275055,0,2.4588342460252166,0.6605172367270447,0.6611596444984988,2.2225358382875515,2.823591282404038
REF J0 none w8=2.0 smooth0.6,0.6449357836274742,0.0832888836309209,-0.20786335102917175,-0.05949965726438433,184.926425054782,0,2.4588490589077407,0.5200522967152889,1.4465134668741177,-0.4553465999178429,-0.7291039880829634
REF J0 none w8=2.5 smooth0.4,1.302685256033271,0.18536797906133118,-0.1502573839706084,-0.06236326440980522,282.4754374185377,0,3.0221015464637215,1.724551689571836,1.473977477445898,0.1485553481155556,0.17909794220940126
REF J0 none w8=2.5 smooth0.5,1.1786329831257465,0.1662590978527112,-0.17181710291479213,-0.06055559830892432,243.89092608467575,0,2.251591162522005,1.9741535017697343,1.326004145927722,-0.22019265292383142,0.7672196879748107
REF J0 none w8=2.5 smooth0.6,0.8349653745339548,0.11040349100019964,-0.16504039253510716,-0.05966660855364303,200.99954135952555,0,2.3641362210516808,0.5178155970267503,1.3499167977961453,-0.569262760303277,0.8201170531289309
REF J1 capY0.5% w8=2.0 smooth0.4,0.961560913842434,0.11836605348238716,-0.1748222471192188,-0.05604467526031798,256.0528926177518,0,2.331893943545908,1.2434168663542609,0.6093828433444295,1.4334594297764045,-0.8744214190046586
REF J1 capY0.5% w8=2.0 smooth0.5,1.0329628948938723,0.126209702443703,-0.1875870422453415,-0.058751503583049036,223.96576915149996,0,2.1659821439199014,1.2924012499182806,0.6206084298523301,2.0150943897030804,-0.9322421787683772
REF J1 capY0.5% w8=2.0 smooth0.6,0.9363253004574416,0.11208729717912402,-0.17589983576228352,-0.05920374149138108,189.82078167984633,0,1.8691933180211073,1.1131736039765578,0.7991068528062903,1.7520017437270874,-0.8601940493348889
REF J1 capY0.5% w8=2.5 smooth0.4,1.0294426955908411,0.1284071749430713,-0.1729148887728107,-0.057165197238315923,280.5201087557759,0,2.443894347156371,1.8811391729055307,0.46148802528257665,1.328024370236251,-0.9512460051952004
REF J1 capY0.5% w8=2.5 smooth0.5,1.6949300470001125,0.21408306413071743,-0.1176994933940878,-0.039496232528221986,248.04131431323293,0,2.4459598067316435,1.311495700809901,0.4673757297819034,2.9032148166361798,1.0196398688333557
REF J1 capY0.5% w8=2.5 smooth0.6,1.1852289448640956,0.14865684290519465,-0.15177191064034723,-0.06065999502233177,207.7683493680865,0,2.585645923813654,1.3654330024283943,0.5645058064815991,2.0062355640740672,-0.6189138115966794
REF J4 capY0.5%+stopS25 w8=2.0 smooth0.4,0.4751163561197192,0.0488303470699154,-0.1688125819614672,-0.03688085767338545,280.9878362141674,2293,1.6349610838891633,0.42893561693215715,-0.053859389391820604,0.9298838478471714,-0.885481157202999
REF J4 capY0.5%+stopS25 w8=2.0 smooth0.5,0.3648900207248498,0.03627903992181358,-0.1945013479798462,-0.05112239915379446,245.29454532548252,2388,1.7169442671142976,0.23478388755950452,-0.14362754156479668,1.2515195498793408,-1.5052241246327829
REF J4 capY0.5%+stopS25 w8=2.0 smooth0.6,0.3973503158497984,0.03992701177428004,-0.19130910854644834,-0.04157226962154803,207.48992391092932,2435,1.3622269573288381,0.19572385351127722,0.4569812741439537,1.116376838363876,-1.4764234389565258
REF J4 capY0.5%+stopS25 w8=2.5 smooth0.4,0.6150637115737032,0.06735484863820407,-0.1954029454387266,-0.04470158233167798,308.24964629862274,2459,2.562365191689795,0.8002884710911129,-0.29732101346556433,0.7629562876903302,-0.8713217901347602
REF J4 capY0.5%+stopS25 w8=2.5 smooth0.5,0.7037435501093667,0.07831435359049688,-0.2051309170110489,-0.045089647449030545,268.63891692769005,2591,1.925780798732288,0.35427810373072605,0.09933895489380057,1.9737614356502624,-1.1717047965708942
REF J4 capY0.5%+stopS25 w8=2.5 smooth0.6,0.7014854445848275,0.077995267278959,-0.1897689984599935,-0.04810499210987462,227.42591198779192,2528,2.2666923846565115,0.34075833036414294,0.3045126588698199,1.6931574317369762,-1.3045943539813376
DAILY J0 none smooth0.4,1.423421509598829,0.22091163067884567,-0.14392703928700634,-0.07126533927583623,109.31594608064749,0,1.1375546524155318,0.29903780616092157,0.8669515609881513,2.446678524565474,2.2695807042816143
DAILY J0 none smooth0.5,1.542020038579828,0.23593218202624988,-0.11113861645011591,-0.037702047378860404,95.4691940058321,0,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816
DAILY J0 none smooth0.6,1.52627305815145,0.23071172363328385,-0.12486429822177625,-0.037726993716696855,80.91690084865735,0,1.369816722341435,0.38472834875820516,1.0374760784241612,2.7157554276214273,2.001459633949429
DAILY J1 capY0.5% smooth0.4,1.0752872922537213,0.13039207730114488,-0.13551088570306447,-0.035532259669817545,110.695020729952,0,0.8256372847987052,0.4686819515307819,0.7534710531018719,1.681869149554002,1.6719899738076698
DAILY J1 capY0.5% smooth0.5,1.0354157646388795,0.12459149538047765,-0.1362127387018197,-0.03758715110209743,96.45155796403193,0,1.038932739502156,0.3391229550886653,1.0039981903501303,1.5812031686728985,1.1042378222983802
DAILY J1 capY0.5% smooth0.6,0.8543079047356448,0.10041649811589792,-0.17266015846747496,-0.035336777130332786,81.74416919962373,0,0.8373206771675155,0.5467066164480278,1.270611170858624,1.055701225007496,0.40507489662812207
DAILY J2 capY0.75% smooth0.4,1.1985804880545887,0.1584043439057774,-0.146047300804644,-0.0353168171944469,113.9250532894137,0,0.8413237290064549,0.5729872861100423,1.3945856517440225,1.6751627764121269,1.4088547304966563
DAILY J2 capY0.75% smooth0.5,1.3677616914982633,0.1795835206667984,-0.1595232841094133,-0.03268080055898903,99.16713697902132,0,1.1435838662415536,0.47559141658965104,1.7795265676988263,1.8317581548433963,1.4794180412477187
DAILY J2 capY0.75% smooth0.6,1.1220880154244228,0.14630195755623676,-0.13099232742262445,-0.04852299485342204,83.21602343345076,0,0.9339948655224767,0.6083045615550443,1.0469076830417088,2.035194101952916,0.6243860329275391
DAILY J3 stopS25 smooth0.4,0.6489049969791368,0.08424103819549966,-0.1674616382784272,-0.05589049820137981,119.66305995244582,1733,0.47131730156136853,-0.2591397915875017,-0.03356925366755799,1.7539263493474833,1.3084572198959998
DAILY J3 stopS25 smooth0.5,0.7822517245570275,0.10455792947053855,-0.1679502362923121,-0.05350485240469971,105.06514853329323,1839,0.37518680582381136,-0.03021165100521121,0.31932348499064345,2.043885435641114,1.1201445492582573
DAILY J3 stopS25 smooth0.6,0.864451465830479,0.11742616126076078,-0.17660208275178224,-0.045909207289723586,89.95076030273023,1822,0.29438659922170235,-0.037860947991347906,0.42761542223369037,1.8251323334332605,1.8226304028528753
DAILY J4 capY0.5%+stopS25 smooth0.4,0.12112002177542057,0.007377393439540247,-0.19881653537183064,-0.0411454420077918,118.8777998039461,2207,0.2460149356538179,-0.2980455306343184,0.8919044641508455,-0.23142312110291552,0.008840726754060715
